,시도,어종류,연도,월,총마릿수[마리],총중량[kg]
175,강원,넙치류(광어),2024,10,3.0,3.4
198,강원,농어류,2023,01,0.0,0.0
199,강원,농어류,2023,02,0.0,0.0
200,강원,농어류,2023,03,0.0,0.0
201,강원,농어류,2023,04,0.0,0.0
202,강원,농어류,2023,05,0.0,0.0
203,강원,농어류,2023,06,0.0,0.0
204,강원,농어류,2023,07,0.0,0.0
205,강원,농어류,2023,08,0.0,0.0
206,강원,농어류,2023,09,0.0,0.0
207,강원,농어류,2023,10,0.0,0.0
208,강원,농어류,2023,11,0.0,0.0
209,강원,농어류,2023,12,0.0,0.0
210,강원,농어류,2024,01,0.0,0.0
211,강원,농어류,2024,02,0.0,0.0
212,강원,농어류,2024,03,0.0,0.0
213,강원,농어류,2024,04,27.0,21.7
214,강원,농어류,2024,05,17.0,16.9
215,강원,농어류,2024,06,0.0,0.0
216,강원,농어류,2024,07,0.0,0.0
217,강원,농어류,2024,08,0.0,0.0
218,강원,농어류,2024,09,0.0,0.0
219,강원,농어류,2024,10,0.0,0.0
220,강원,대구,2023,01,3953.0,4871.1
221,강원,대구,2023,02,4171.0,5342.5
222,강원,대구,2023,03,7712.0,11669.5
223,강원,대구,2023,04,2003.0,1622.1
224,강원,대구,2023,05,1139.0,745.8
225,강원,대구,2023,06,5791.0,3472.9
226,강원,대구,2023,07,2242.0,1633.2
227,강원,대구,2023,08,2990.0,1921.1
228,강원,대구,2023,09,7428.0,6682.3
229,강원,대구,2023,10,11348.0,11715.6
230,강원,대구,2023,11,10842.0,12625.5
231,강원,대구,2023,12,21487.0,23177.0
232,강원,대구,2024,01,9733.0,10232.3
233,강원,대구,2024,02,6500.0,10263.8
234,강원,대구,2024,03,8238.0,9785.5
235,강원,대구,2024,04,2090.0,3520.1
236,강원,대구,2024,05,872.0,641.1
237,강원,대구,2024,06,2517.0,2169.6
238,강원,대구,2024,07,6826.0,7410.1
239,강원,대구,2024,08,13971.0,18727.4
240,강원,대구,2024,09,21734.0,26285.0
241,강원,대구,2024,10,17880.0,44472.2
242,강원,문어류,2023,01,22.0,29.8
243,강원,문어류,2023,02,13.0,269.1
244,강원,문어류,2023,03,491.0,549.3
245,강원,문어류,2023,04,5859.0,12686.4
246,강원,문어류,2023,05,5310.0,9894.8
247,강원,문어류,2023,06,4131.0,6295.0
248,강원,문어류,2023,07,3884.0,7000.9
249,강원,문어류,2023,08,2197.0,4671.5
250,강원,문어류,2023,09,2257.0,4262.7
251,강원,문어류,2023,10,0.0,0.0
252,강원,문어류,2023,11,25.0,62.1
253,강원,문어류,2023,12,27.0,105.1
254,강원,문어류,2024,01,696.0,871.0
255,강원,문어류,2024,02,873.0,1360.9
256,강원,문어류,2024,03,3191.0,4610.2
257,강원,문어류,2024,04,8690.0,30173.7
258,강원,문어류,2024,05,5395.0,9635.0
259,강원,문어류,2024,06,4432.0,8706.6
260,강원,문어류,2024,07,4656.0,8223.3
261,강원,문어류,2024,08,2308.0,3949.4
262,강원,문어류,2024,09,82.0,226.8
263,강원,문어류,2024,10,0.0,0.0
286,강원,복어류,2023,01,0.0,0.0
287,강원,복어류,2023,02,0.0,0.0
288,강원,복어류,2023,03,0.0,0.0
289,강원,복어류,2023,04,0.0,0.0
290,강원,복어류,2023,05,0.0,0.0
291,강원,복어류,2023,06,0.0,0.0
292,강원,복어류,2023,07,0.0,0.0
293,강원,복어류,2023,08,0.0,0.0
294,강원,복어류,2023,09,0.0,0.0
295,강원,복어류,2023,10,2338.0,1635.3
296,강원,복어류,2023,11,114.0,30.1
297,강원,복어류,2023,12,0.0,0.0
298,강원,복어류,2024,01,0.0,0.0
299,강원,복어류,2024,02,0.0,0.0
300,강원,복어류,2024,03,0.0,0.0
301,강원,복어류,2024,04,0.0,0.0
302,강원,복어류,2024,05,0.0,0.0
303,강원,복어류,2024,06,3.0,1.7
304,강원,복어류,2024,07,0.0,0.0
305,강원,복어류,2024,08,0.0,0.0
306,강원,복어류,2024,09,0.0,0.0
307,강원,복어류,2024,10,27.0,37.3
462,강원,조피볼락(우럭),2023,01,803.0,759.9
463,강원,조피볼락(우럭),2023,02,685.0,555.9
464,강원,조피볼락(우럭),2023,03,1523.0,1030.2
465,강원,조피볼락(우럭),2023,04,826.0,446.3
466,강원,조피볼락(우럭),2023,05,207.0,123.7
467,강원,조피볼락(우럭),2023,06,899.0,625.8
468,강원,조피볼락(우럭),2023,07,776.0,489.6
469,강원,조피볼락(우럭),2023,08,341.0,191.3
470,강원,조피볼락(우럭),2023,09,496.0,268.0
471,강원,조피볼락(우럭),2023,10,172.0,83.3
472,강원,조피볼락(우럭),2023,11,143.0,81.6
473,강원,조피볼락(우럭),2023,12,314.0,174.8
474,강원,조피볼락(우럭),2024,01,522.0,315.3
475,강원,조피볼락(우럭),2024,02,130.0,59.9
476,강원,조피볼락(우럭),2024,03,301.0,181.5
477,강원,조피볼락(우럭),2024,04,809.0,383.2
