시도,어종명,항목,단위,2023.01 월,2023.02 월,2023.03 월,2023.04 월,2023.05 월,2023.06 월,2023.07 월,2023.08 월,2023.09 월,2023.10 월,2023.11 월,2023.12 월,2024.01 월,2024.02 월,2024.03 월,2024.04 월,2024.05 월,2024.06 월,2024.07 월,2024.08 월,2024.09 월,2024.10 월
부산,조피볼락(우럭),총마릿수[마리],마리,77,391,186,,129,59,22,21,,,,,97,68,2192,1706,725,244,48,777,9,9
부산,조피볼락(우럭),총중량[kg],kg,77.4,100.2,53.1,,69.4,44.6,8.1,21.2,,,,,51.7,49.7,391.6,515,127.5,39.1,9.1,126,1.9,4.3
부산,기타볼락류,총마릿수[마리],마리,39434,6240,54757,8914,3985,2325,657,677,249,675,908,6895,8448,45216,46602,21519,4151,4893,511,1067,1060,1207
부산,기타볼락류,총중량[kg],kg,9833,2881.1,8916.5,2119.6,1771.7,644.8,229.7,159.2,51.4,129.8,134.9,957.4,1693.5,8836.1,9685.3,4862,584.3,2152.1,57.8,162.3,158,363.1
부산,노래미류,총마릿수[마리],마리,136,110,471,272,638,534,141,117,289,759,1005,214,56,162,157,113,924,589,7,3,9,
부산,노래미류,총중량[kg],kg,16.9,24.6,87.8,66.1,269.7,353.7,15.8,12.4,70.5,151.6,169.3,42.8,8.7,22.4,37.4,17.5,78.5,54.1,2.4,2.9,1.9,
부산,삼치류,총마릿수[마리],마리,1340,641,79,16,9,,18,836,2960,2763,145,1675,1283,710,401,89,,,,52,1419,2328
부산,삼치류,총중량[kg],kg,3167,1495.6,176.7,32.1,32.5,,186.2,553.2,3636.4,4778.8,203,5919.9,4278,2491.2,880.5,37,,,,81.6,1269.9,4318.7
부산,성대류,총마릿수[마리],마리,455,147,302,242,305,685,171,,,35,39,111,,20,262,81,234,464,65,99,78,82
부산,성대류,총중량[kg],kg,58.8,31,68.4,40.6,92.6,164.6,26.3,,,5.8,14.1,31.2,,4.3,50.1,12.7,64.5,117.3,13.7,16.9,13.4,12.5
부산,숭어류,총마릿수[마리],마리,,68,,,,,,62,465,178,18,152,40,74,155,46,,5,,116,207,32
부산,숭어류,총중량[kg],kg,,63.5,,,,,,25.4,259.8,153.7,18.1,45.7,27.2,75.6,100.6,51,,7.6,,85.2,203.6,23.1
부산,아귀류,총마릿수[마리],마리,,,,,,,,,,,,,,3,,,,,,,,
부산,아귀류,총중량[kg],kg,,,,,,,,,,,,,,2.5,,,,,,,,
부산,양태류,총마릿수[마리],마리,,5,,,5,,,9,,13,4,,,,,,2,,2,2,,2
부산,양태류,총중량[kg],kg,,2.7,,,2.5,,,4.3,,15,7.2,,,,,,1.2,,4.7,4.7,,2.5
부산,붕장어,총마릿수[마리],마리,581,206,1109,751,699,518,26,290,18,,1504,4386,4453,3561,3219,234,1817,5,,237,2028,977
부산,붕장어,총중량[kg],kg,194.6,56.7,372.1,259.3,230,293.3,11.6,217.5,3.6,,358.8,1929.6,2138.5,1427.5,1443.3,60.4,994.3,2.7,,118.3,898.5,437.3
부산,전갱이류,총마릿수[마리],마리,5609,6393,15357,11002,18564,9163,5934,8186,17429,21165,16939,17843,6405,2585,3579,13520,9132,13933,6523,7606,12186,19049
부산,전갱이류,총중량[kg],kg,1025.1,1201.7,3004.6,1884.7,5346.9,2361.2,2629.8,3507.8,3687.5,4358.4,3965,3850.2,2079.2,597.6,579.2,2424.1,1837.4,2696.5,937.1,1624.3,2399.2,3107.7
부산,전어,총마릿수[마리],마리,,1783,,,,,,,,,,1486,2718,11848,3372,,,,,,,
부산,전어,총중량[kg],kg,,274.7,,,,,,,,,,148.6,271.8,1373.2,361.1,,,,,,,
부산,참조기,총마릿수[마리],마리,,,,,,,167,,,,,,,,,,,,,,,
부산,참조기,총중량[kg],kg,,,,,,,33.4,,,,,,,,,,,,,,,
부산,쥐치류,총마릿수[마리],마리,1499,82,35,,32,600,489,349,58,682,776,1918,296,263,30,10,7,821,12,24,15,280
부산,쥐치류,총중량[kg],kg,399.9,29.4,14.1,,9,225,119.5,118.6,15.2,279.6,333,726,140.6,58.9,4.6,1.8,3,476.8,7.1,7.1,6.8,101.3
부산,꼼치류,총마릿수[마리],마리,,5,,,,,,,,,,,,,,,,,,,,
부산,꼼치류,총중량[kg],kg,,4,,,,,,,,,,,,,,,,,,,,
부산,기타어류,총마릿수[마리],마리,1748,459,1291,610,373,558,2103,2894,477,606,714,1263,1246,340,5630,1338,6429,2141,2376,2175,1670,2513
부산,기타어류,총중량[kg],kg,415.4,54,126.1,76.3,49.3,63.6,175.9,226.9,76.4,75.1,73.1,187.7,187.5,124.6,1141.2,396.9,4173.9,657.2,983.6,633.7,736.5,1335.7
부산,갑오징어류,총마릿수[마리],마리,,,,,,,,198,1134,,,,,,,25,,,,,,
부산,갑오징어류,총중량[kg],kg,,,,,,,,112.8,390,,,,,,,12.7,,,,,,
부산,낙지류,총마릿수[마리],마리,,,,,,,,,,,,,,,19,,,,,,,
부산,낙지류,총중량[kg],kg,,,,,,,,,,,,,,,6.3,,,,,,,
