시도,어종명,항목,단위,2023.01 월,2023.02 월,2023.03 월,2023.04 월,2023.05 월,2023.06 월,2023.07 월,2023.08 월,2023.09 월,2023.10 월,2023.11 월,2023.12 월,2024.01 월,2024.02 월,2024.03 월,2024.04 월,2024.05 월,2024.06 월,2024.07 월,2024.08 월,2024.09 월,2024.10 월
울산,한치류,총마릿수[마리],마리,,,,10,,313,,452,44,64,,,,,,,7,,,,,
울산,한치류,총중량[kg],kg,,,,2.5,,90,,143.4,10.4,20.8,,,,,,,1.8,,,,,
경기,가자미류,총마릿수[마리],마리,,,3,,4,2,,,,,,,,,,1,1,1,,,,
경기,가자미류,총중량[kg],kg,,,8,,13.1,1.1,,,,,,,,,,0.5,0.4,0.4,,,,
경기,갈치,총마릿수[마리],마리,,,,,,,,1,,,,,,,,,,,1,1,,
경기,갈치,총중량[kg],kg,,,,,,,,0.6,,,,,,,,,,,0.5,1.3,,
경기,넙치류(광어),총마릿수[마리],마리,2,,93,1094,5433,2640,1090,750,70,122,170,160,,,1,1367,7565,2742,1125,1200,97,156
경기,넙치류(광어),총중량[kg],kg,1,,400.1,2844.8,17056.5,4562.4,1902.9,1316.3,67.3,92,134,271.8,,,1.2,3082,17208.4,5481.4,1522.5,1788.7,59.5,199.4
경기,농어류,총마릿수[마리],마리,,,,2,379,2271,777,709,496,609,14,,,,,3,686,2312,921,486,42,108
경기,농어류,총중량[kg],kg,,,,9.3,1836.1,11677.5,3041.3,1859.4,1270.7,1281.3,10.3,,,,,1.1,2486.9,8008.9,3038.1,1528.4,184.4,319.5
경기,감성돔,총마릿수[마리],마리,,,,,,,,,,,,,,,,,,,,29,,
경기,감성돔,총중량[kg],kg,,,,,,,,,,,,,,,,,,,,32.8,,
경기,참돔,총마릿수[마리],마리,,,,,120,197,142,21,,,,,,,,,79,511,98,117,1,1
경기,참돔,총중량[kg],kg,,,,,538.4,274.7,209.5,31.9,,,,,,,,,81.9,606.3,124.5,119.5,0.9,3.2
경기,돌돔(줄돔),총마릿수[마리],마리,,,,,,,,,,,3,,,,,,,,,,,
경기,돌돔(줄돔),총중량[kg],kg,,,,,,,,,,,0.6,,,,,,,,,,,
경기,기타돔류,총마릿수[마리],마리,,,,,,,,,,,,,,,,,,1,,,,1
경기,기타돔류,총중량[kg],kg,,,,,,,,,,,,,,,,,,1.8,,,,2.3
경기,민어,총마릿수[마리],마리,,,,,,,1,4,,,,,,,,,1,6,4,,1,1
경기,민어,총중량[kg],kg,,,,,,,3.7,4.2,,,,,,,,,3.8,41.1,12.7,,1.5,2.2
경기,보구치,총마릿수[마리],마리,,,,,,319,1861,1717,,,,,,,,,3,99,1213,14374,,
경기,보구치,총중량[kg],kg,,,,,,99.4,886.2,581.3,,,,,,,,,1.5,28.2,321.2,2663.3,,
경기,복어류,총마릿수[마리],마리,,,,,4,,,,,,,,,,,,,,,,,
경기,복어류,총중량[kg],kg,,,,,2.2,,,,,,,,,,,,,,,,,
경기,조피볼락(우럭),총마릿수[마리],마리,91,115,2421,6006,6846,5132,3407,2205,199,1439,2869,2316,2157,1921,3869,8699,8849,11060,7640,5151,127,729
경기,조피볼락(우럭),총중량[kg],kg,31.3,37.6,2208.3,5946.1,5707.8,2286.2,1913.9,1122.4,95.3,579.1,914.4,986.6,908.5,715.5,1266.5,3358.3,3386.4,5278,3503.6,2345.9,44.9,277.8
경기,기타볼락류,총마릿수[마리],마리,,,43,155,8,736,59,205,,,,120,,4,18,9,76,29,4,45,,
경기,기타볼락류,총중량[kg],kg,,,8.6,37.6,1.1,186.8,19,48.9,,,,29.3,,0.6,4,2.5,22.2,9.9,0.8,10.2,,
경기,노래미류,총마릿수[마리],마리,13,42,1253,5749,5362,3603,1339,234,39,51,25,60,730,105,639,5552,5283,4325,272,111,18,
경기,노래미류,총중량[kg],kg,8.2,14.4,1545.8,5913.3,3649,1603.8,688.3,107.7,17.1,18.7,11.7,22.9,298.6,38,200.6,1863.2,2037.4,1652.5,129.4,49.7,4.5,
경기,부세,총마릿수[마리],마리,,,,,,6,,,,,,,,,,,1,25,11,42,,
경기,부세,총중량[kg],kg,,,,,,6.4,,,,,,,,,,,2.6,29.1,12.5,50.2,,
경기,삼치류,총마릿수[마리],마리,,,,,,4,,,,,,,,,,1,1,2,6,1,,
경기,삼치류,총중량[kg],kg,,,,,,3.8,,,,,,,,,,2.5,1.3,11.1,5.6,2.6,,
경기,상어류,총마릿수[마리],마리,,,,,,,,,,1,,,,,,,,1,1,5,,3
경기,상어류,총중량[kg],kg,,,,,,,,,,2,,,,,,,,1.2,3.7,7.3,,3.2
경기,성대류,총마릿수[마리],마리,,,,,5,,1,,,,,,,,,1,,,6,,,
경기,성대류,총중량[kg],kg,,,,,5.1,,0.6,,,,,,,,,1.3,,,2.8,,,
경기,삼세기,총마릿수[마리],마리,,,,,,,,,,,,,1,,,5,5,,,,,
경기,삼세기,총중량[kg],kg,,,,,,,,,,,,,0.7,,,4.3,2.4,,,,,
경기,숭어류,총마릿수[마리],마리,,,38,,,,,,,,,3,,,,,,,,,,37
경기,숭어류,총중량[kg],kg,,,59.4,,,,,,,,,4.1,,,,,,,,,,14
경기,양태류,총마릿수[마리],마리,,,,86,87,187,108,44,,4,4,,,,,1,508,311,166,163,6,5
경기,양태류,총중량[kg],kg,,,,86,109.6,150.8,80,35.8,,1.4,2.3,,,,,1.3,243.2,114.3,52.1,79.6,1.7,1.3
경기,갯장어,총마릿수[마리],마리,,,,,,,,,,,,,,,,,,,1,,,
경기,갯장어,총중량[kg],kg,,,,,,,,,,,,,,,,,,,0.5,,,
경기,붕장어,총마릿수[마리],마리,,,,,3,11,9,10,,4,30,,,,,,9,16,16,44,,34
경기,붕장어,총중량[kg],kg,,,,,2.6,3.7,4.7,4.2,,4.7,12.3,,,,,,6.2,12.3,11.2,30.5,,15.9
경기,참조기,총마릿수[마리],마리,,,,,,,12,,,,,,,,,,,,,,,
경기,참조기,총중량[kg],kg,,,,,,,2.5,,,,,,,,,,,,,,,
경기,기타조기류,총마릿수[마리],마리,,,,,,,6,3,,,,,,,,,,1,14,4,,15
경기,기타조기류,총중량[kg],kg,,,,,,,5.6,3.2,,,,,,,,,,0.2,18.3,2.6,,15.3
경기,홍어류,총마릿수[마리],마리,,,,,,,,,,,1,,,,,,,,1,,,
경기,홍어류,총중량[kg],kg,,,,,,,,,,,0.3,,,,,,,,0.6,,,
경기,꽃게,총마릿수[마리],마리,,,,,,,,,64,8,7,,,,,,,,,,4,43
경기,꽃게,총중량[kg],kg,,,,,,,,,17.5,2.3,3.1,,,,,,,,,,1.2,13.8
경기,기타갑각류,총마릿수[마리],마리,,,,,,,,,,,,,,,,,,,,,13,
경기,기타갑각류,총중량[kg],kg,,,,,,,,,,,,,,,,,,,,,1.8,
경기,갑오징어류,총마릿수[마리],마리,,,,,,,22,,24400,83754,18098,,,,,,,646,,,48103,125225
경기,갑오징어류,총중량[kg],kg,,,,,,,31.9,,4427.4,17564.1,3736.4,,,,,,,270.2,,,8567.3,24894.6
경기,낙지류,총마릿수[마리],마리,,,,,,,,,157,250,3067,,,,,,,,,,12,1
경기,낙지류,총중량[kg],kg,,,,,,,,,41.2,47.7,365.6,,,,,,,,,,1.3,0.1
경기,주꾸미,총마릿수[마리],마리,,,,1145,,,,,931769,842659,227614,7074,,,428,75,1010,,,,2540648,1258475
경기,주꾸미,총중량[kg],kg,,,,112.3,,,,,31239.7,51227.5,14453.1,539.7,,,33.5,5,85.8,,,,102914.2,67690.2
경기,해삼,총마릿수[마리],마리,,,,,1,,,,,,,,,,,,,,,,,
경기,해삼,총중량[kg],kg,,,,,0.3,,,,,,,,,,,,,,,,,
강원,가자미류,총마릿수[마리],마리,304982,628437,106758,34029,17485,32629,38612,25309,29822,12976,6146,110252,105520,508205,70020,50491,52793,52623,46575,71427,34602,28349
강원,가자미류,총중량[kg],kg,78277,124213,27797.8,7582.6,4095.8,7922.2,10670.5,8193.9,5975.4,3781.1,1268.7,34281.6,30083.1,83265.8,25259,15017.4,9644.8,10951.4,9194.2,13185.2,7849.7,4631.7
강원,기름가자미,총마릿수[마리],마리,42,,,,,,,,,36,,,,,,,,17,,,,
강원,기름가자미,총중량[kg],kg,5.6,,,,,,,,,3.6,,,,,,,,5.2,,,,
강원,고등어,총마릿수[마리],마리,,,,,,,,73,,,,,,,,,,,6,42,94,163
강원,고등어,총중량[kg],kg,,,,,,,,43.2,,,,,,,,,,,2.9,20.8,26.2,35.9
강원,넙치류(광어),총마릿수[마리],마리,,4,,1180,542,353,101,18,7,4,260,36,7,,74,2414,956,75,225,114,,3
강원,넙치류(광어),총중량[kg],kg,,2.2,,2505.5,1154.7,454.4,201.9,73.1,5.2,14.3,151.6,42.6,14.7,,141.3,1378.2,572.2,40.8,1480.2,408.6,,3.4
강원,농어류,총마릿수[마리],마리,,,,,,,,,,,,,,,,27,17,,,,,
강원,농어류,총중량[kg],kg,,,,,,,,,,,,,,,,21.7,16.9,,,,,
강원,참다랑어,총마릿수[마리],마리,,,,,,,,,7,,,,,,,,,6,,,,
강원,참다랑어,총중량[kg],kg,,,,,,,,,3.5,,,,,,,,,14,,,,
강원,대구,총마릿수[마리],마리,3953,4171,7712,2003,1139,5791,2242,2990,7428,11348,10842,21487,9733,6500,8238,2090,872,2517,6826,13971,21734,17880
강원,대구,총중량[kg],kg,4871.1,5342.5,11669.5,1622.1,745.8,3472.9,1633.2,1921.1,6682.3,11715.6,12625.5,23177,10232.3,10263.8,9785.5,3520.1,641.1,2169.6,7410.1,18727.4,26285,44472.2
강원,감성돔,총마릿수[마리],마리,,,,,,,,,,,,,11,,,,,,,,,
강원,감성돔,총중량[kg],kg,,,,,,,,,,,,,4,,,,,,,,,
강원,방어류,총마릿수[마리],마리,,,,,,,,,80,808,225,,,,,,,66,,7,68,404
강원,방어류,총중량[kg],kg,,,,,,,,,110.8,1401.6,425.8,,,,,,,147.6,,28.2,129.2,354.6
강원,복어류,총마릿수[마리],마리,,,,,,,,,,2338,114,,,,,,,3,,,,27
강원,복어류,총중량[kg],kg,,,,,,,,,,1635.3,30.1,,,,,,,1.7,,,,37.3
강원,조피볼락(우럭),총마릿수[마리],마리,803,685,1523,826,207,899,776,341,496,172,143,314,522,130,301,809,2534,2768,1136,1079,1088,271
강원,조피볼락(우럭),총중량[kg],kg,759.9,555.9,1030.2,446.3,123.7,625.8,489.6,191.3,268,83.3,81.6,174.8,315.3,59.9,181.5,383.2,1475.3,1566,718,382.9,318.9,113.5
강원,기타볼락류,총마릿수[마리],마리,1933,734,,,,1208,741,641,1563,253,10,75,1661,1846,2071,140,1903,13861,1441,1837,774,342
강원,기타볼락류,총중량[kg],kg,677.2,453.4,,,,343.8,214.8,270.4,825.9,206.9,4.5,25.7,651,461.3,623.6,42.2,190.3,2672.6,1057.8,872.1,328.1,138.9
강원,노래미류,총마릿수[마리],마리,,15,,,,392,88,164,291,308,,21,7,14,,623,62,644,76,456,327,40
강원,노래미류,총중량[kg],kg,,152.3,,,,199.6,37.1,61.8,117.5,115.4,,8.9,3.7,3.5,,321,35,347.8,27,206.5,145.9,18.5
강원,삼치류,총마릿수[마리],마리,,,,,,,,,1542,7830,3,,,,,,,,,,860,4542
강원,삼치류,총중량[kg],kg,,,,,,,,,792.5,4614.7,10.4,,,,,,,,,,767.1,3109.7
강원,성대류,총마릿수[마리],마리,,,,,,,148,119,50,,25,,,,,,,,,,,
강원,성대류,총중량[kg],kg,,,,,,,53.6,71.5,9.1,,6.3,,,,,,,,,,,
강원,삼세기,총마릿수[마리],마리,,,,,,,,,,4,,,,,,,,138,70,3,,40
강원,삼세기,총중량[kg],kg,,,,,,,,,,2.1,,,,,,,,58.6,25.6,1.4,,18.2
강원,양태류,총마릿수[마리],마리,,,,,,,,,,,3,,,,,,39,,,,,
강원,양태류,총중량[kg],kg,,,,,,,,,,,1.7,,,,,,27.2,,,,,
강원,임연수어,총마릿수[마리],마리,546,400,98,,,202,,17,,64,,,,64,668,156,,,,,,15
강원,임연수어,총중량[kg],kg,136.6,143.8,32.5,,,101,,8.6,,25,,,,24.8,179.5,63.6,,,,,,7.7
강원,붕장어,총마릿수[마리],마리,,,,,,,,13,7,,,,,,,,,,,,,
강원,붕장어,총중량[kg],kg,,,,,,,,8.6,3.5,,,,,,,,,,,,,
강원,기타어류,총마릿수[마리],마리,378,344,6747,1390,1965,1184,846,414,543,360,175,282,360,309,217,2309,4986,12647,2792,2177,190,310
강원,기타어류,총중량[kg],kg,114.4,106,1387.4,306.1,577,208.2,198.3,122.9,147.6,132,74.9,109.2,42.3,80.5,56.3,492.9,1321.2,2472.7,937.5,665.6,101.1,70.7
강원,문어류,총마릿수[마리],마리,22,13,491,5859,5310,4131,3884,2197,2257,,25,27,696,873,3191,8690,5395,4432,4656,2308,82,
강원,문어류,총중량[kg],kg,29.8,269.1,549.3,12686.4,9894.8,6295,7000.9,4671.5,4262.7,,62.1,105.1,871,1360.9,4610.2,30173.7,9635,8706.6,8223.3,3949.4,226.8,
강원,살오징어,총마릿수[마리],마리,,,,,,,,95,410,1187,7,,,,,,,,,46,1694,5195
강원,살오징어,총중량[kg],kg,,,,,,,,44,140,367.2,1.7,,,,,,,,,16.6,692.8,2305.3
강원,기타,총마릿수[마리],마리,,,,,,154,,,,,,,,,,,,,,,,
강원,기타,총중량[kg],kg,,,,,,26.5,,,,,,,,,,,,,,,,
충남,가자미류,총마릿수[마리],마리,,6,,,,431,233,,,,20,,,19,,,28,18,,7,,7
충남,가자미류,총중량[kg],kg,,3.2,,,,641.9,145.5,,,,35.3,,,12.1,,,14,13.8,,7.8,,3.3
충남,갈치,총마릿수[마리],마리,,,,,,,,18,6,,,,,,,,,,,,,
충남,갈치,총중량[kg],kg,,,,,,,,11.9,6,,,,,,,,,,,,,
충남,넙치류(광어),총마릿수[마리],마리,19,25,972,29834,41135,26815,18975,23385,4352,11376,10819,2248,149,93,491,8189,22596,17689,8658,10676,2776,3672
충남,넙치류(광어),총중량[kg],kg,71.2,63,1530,41488.4,61120.4,46180.7,26444.7,34974.5,3662.1,12213.3,14178.7,3514,248.3,131.8,501.2,13043.5,43647,29204.8,15758.7,16558.4,3445.2,3770.1
충남,농어류,총마릿수[마리],마리,,6,,,1853,2121,957,4212,229,642,1772,109,,18,32,611,4443,3057,861,841,1135,1374
충남,농어류,총중량[kg],kg,,18.9,,,5102.6,3892,1881,6891.7,370.8,1038.7,3044.4,228.9,,32.3,55.3,728.4,9358.3,6551.5,2118.8,1506.2,1370.6,1711.5
충남,기타다랑어류,총마릿수[마리],마리,,,,,,,,,,,,,,,,,,,,5,,
충남,기타다랑어류,총중량[kg],kg,,,,,,,,,,,,,,,,,,,,25.1,,
충남,대구,총마릿수[마리],마리,,202,,,,65,1885,4125,2309,727,,57,698,14,83,32,51,18,59,1190,5,
충남,대구,총중량[kg],kg,,883.4,,,,32.5,6900.5,15729.8,8639,2816,,211.7,1871,50.7,189.1,73.5,158.2,50.5,152.1,3664,13.6,
충남,감성돔,총마릿수[마리],마리,,,,,,176,136,,,,,,,,,,5,,,55,206,431
충남,감성돔,총중량[kg],kg,,,,,,370.8,197.2,,,,,,,,,,14,,,40.2,170.7,354.6
충남,참돔,총마릿수[마리],마리,,,68,996,7328,8190,1750,7501,2068,96,362,,,,,41,8731,10592,4478,13931,90,5723
충남,참돔,총중량[kg],kg,,,60.7,2120,12714.6,15776.5,3746,14254.7,5202.7,123.1,361.7,,,,,87.1,17476.1,12343,6050.5,12248.5,151.5,3425.4
충남,기타돔류,총마릿수[마리],마리,,,,,,,25,,,,,,,,,,,5,50,222,78,
충남,기타돔류,총중량[kg],kg,,,,,,,30.8,,,,,,,,,,,9.2,55.2,307.2,65.4,
충남,민어,총마릿수[마리],마리,,,,,,13,49,6,,,,,,,,,,,,,,
충남,민어,총중량[kg],kg,,,,,,45.5,80.1,11.9,,,,,,,,,,,,,,
충남,방어류,총마릿수[마리],마리,,,,,,7,234,131,193,258,,,,,,,,15,257,422,163,59
충남,방어류,총중량[kg],kg,,,,,,32.5,927.3,415.5,633,756.5,,,,,,,,50.9,881.5,1516.2,384.5,150.6
충남,보구치,총마릿수[마리],마리,,,,1086,1838,137684,770416,1146580,102,120,,,,,,,,205754,283576,506615,,
충남,보구치,총중량[kg],kg,,,,546.7,918.8,40394.6,205538.9,305008.1,24.1,36,,,,,,,,43905.4,54936.4,87495.9,,
충남,복어류,총마릿수[마리],마리,,,,,,,,12,12,,,,,,,,,,,,33569,
충남,복어류,총중량[kg],kg,,,,,,,,8.9,18.1,,,,,,,,,,,,1000,
충남,조피볼락(우럭),총마릿수[마리],마리,21108,51931,51402,87981,123387,116838,48638,49202,37686,53697,123260,103208,63312,43537,56214,127642,175963,118743,36238,42044,31345,39531
충남,조피볼락(우럭),총중량[kg],kg,11663.4,55409.5,27746.8,53225.3,79302.2,56007.1,25085.7,23657.3,15158.5,21072.1,52389.4,52839.4,30518,22876.4,24362.8,56497.7,81963.7,53947.9,16014.2,19191.8,11661.9,15609.4
충남,기타볼락류,총마릿수[마리],마리,194,,,46,68,440,60,,220,90,60,2247,143,1098,374,154,464,590,331,4079,701,2501
충남,기타볼락류,총중량[kg],kg,38.8,,,15.2,24.3,122.3,17.9,,29.3,48,18.1,646.1,45.8,329.3,168.3,79.4,130.1,191.8,104.4,924.4,244.3,1008.7
충남,노래미류,총마릿수[마리],마리,369,1934,2771,15180,13675,20014,17470,12235,8605,9044,1270,3943,4314,3787,11290,25177,43910,37324,6460,7829,3854,2069
충남,노래미류,총중량[kg],kg,181.1,1107.1,1614.3,8496.6,7566.3,7884,5737.1,4276.2,2753.9,2624.1,484.1,2702.9,2579.7,2049.2,5492.4,11275.8,18365.9,15164.3,2659.3,3722.9,1669.2,766.1
충남,부세,총마릿수[마리],마리,,,,,15,,992,5233,,,,,,,,,116,748,481,196,,
충남,부세,총중량[kg],kg,,,,,15.2,,801,4714.1,,,,,,,,,55.8,295.8,171.1,65.4,,
충남,삼치류,총마릿수[마리],마리,,,,,,117,12,6,,6,20,,,,,,,621,5,209,14,
충남,삼치류,총중량[kg],kg,,,,,,474.9,37,5.9,,18,45.4,,,,,,,1453.1,20.1,547.8,45.2,
충남,성대류,총마릿수[마리],마리,,,,,,,,,,6,,,,,,,,46,,18,,
충남,성대류,총중량[kg],kg,,,,,,,,,,6,,,,,,,,14.2,,9.7,,
충남,삼세기,총마릿수[마리],마리,,,38,68,,,,,,,,,,,,6,33,,,,,
충남,삼세기,총중량[kg],kg,,,12.1,22.8,,,,,,,,,,,,3.2,10.2,,,,,
충남,숭어류,총마릿수[마리],마리,,,,,,171,,,,,,,,,,,,,,,,
충남,숭어류,총중량[kg],kg,,,,,,521.8,,,,,,,,,,,,,,,,
충남,아귀류,총마릿수[마리],마리,,,,,,,,,,,,,,5,,,,,,,,
충남,아귀류,총중량[kg],kg,,,,,,,,,,,,,,6.9,,,,,,,,
충남,양태류,총마릿수[마리],마리,,,,,,34,37,512,42,,10,,,,,,37,34,139,101,,
충남,양태류,총중량[kg],kg,,,,,,36.1,37,192.4,30.1,,7.1,,,,,,27.3,15.6,89.4,97.4,,
충남,붕장어,총마릿수[마리],마리,,,,,,23,,,156,,10,,,,,,6,23,,,,
충남,붕장어,총중량[kg],kg,,,,,,15.7,,,145.3,,5,,,,,,1.9,9.4,,,,
충남,기타조기류,총마릿수[마리],마리,,,,,,2147,2076,,,,,,,,,,,1034,8342,17886,,
충남,기타조기류,총중량[kg],kg,,,,,,1333.7,207.6,,,,,,,,,,,366.1,2397.6,5520.4,,
충남,쥐치류,총마릿수[마리],마리,,,,,,,,,,,,,,,,,,5,,,,
충남,쥐치류,총중량[kg],kg,,,,,,,,,,,,,,,,,,2.8,,,,
충남,기타어류,총마릿수[마리],마리,,,,,,,,119,,,,,,,,5,,228,41,163,,
충남,기타어류,총중량[kg],kg,,,,,,,,11.9,,,,,,,,1,,70.9,18.2,73.1,,
충남,꽃게,총마릿수[마리],마리,,,,,,,,,6,,,,,,,,,,,,69,110
충남,꽃게,총중량[kg],kg,,,,,,,,,2.4,,,,,,,,,,,,19.2,39.5
충남,민꽃게,총마릿수[마리],마리,,,,,,7,,,,,,,,,,,,,,,7,
충남,민꽃게,총중량[kg],kg,,,,,,3.3,,,,,,,,,,,,,,,1.3,
충남,기타갑각류,총마릿수[마리],마리,,,,,,,,,,,,,,,,,,,,,2072,
충남,기타갑각류,총중량[kg],kg,,,,,,,,,,,,,,,,,,,,,343.8,
충남,갑오징어류,총마릿수[마리],마리,,,,,23,1599,6,4642,1444753,1409358,287345,64,,,,,10738,9758,,1355,1232083,2621300
충남,갑오징어류,총중량[kg],kg,,,,,7.6,752,6.2,987.7,240039.3,315651.3,70334.7,14.2,,,,,7830.5,4667.3,,492,247411,742781
충남,낙지류,총마릿수[마리],마리,,,,,,,,,,,,,,,,,9,5,,,,114
충남,낙지류,총중량[kg],kg,,,,,,,,,,,,,,,,,2.3,1.4,,,,41.5
충남,문어류,총마릿수[마리],마리,,,,,,,,,,6,,,,,,,,,2061,119696,63123,91414
충남,문어류,총중량[kg],kg,,,,,,,,,,4.2,,,,,,,,,768.8,50646.1,35931,74215.8
충남,주꾸미,총마릿수[마리],마리,,,2779,28559,1974,,,12454,22541545,10827302,1483956,11099,,,15397,91461,7915,,,,10707847,5660794
충남,주꾸미,총중량[kg],kg,,,366,4468,227.8,,,394.4,678385,379218.6,69477,538.6,,,1209,7472.4,379.7,,,,338382.4,241048
충남,살오징어,총마릿수[마리],마리,,,,,,,,,,,,,,,,,,,,10,,
충남,살오징어,총중량[kg],kg,,,,,,,,,,,,,,,,,,,,2.5,,
충남,해삼,총마릿수[마리],마리,,,,10,,,,,,,,,,,,,,,,,,
충남,해삼,총중량[kg],kg,,,,2,,,,,,,,,,,,,,,,,,
전북,가오리류,총마릿수[마리],마리,,,,,,,,,4,,,,,,,,,,,25,,
전북,가오리류,총중량[kg],kg,,,,,,,,,4.9,,,,,,,,,,,13,,
전북,갈치,총마릿수[마리],마리,,,,,,,,25,,4778,7,,,,,,,,,7082,2,450
전북,갈치,총중량[kg],kg,,,,,,,,5,,456.4,0.7,,,,,,,,,4703.6,0.6,101.9
전북,고등어,총마릿수[마리],마리,,,,,,,,12856,,,,,,,,,,,12533,62383,,
전북,고등어,총중량[kg],kg,,,,,,,,178.5,,,,,,,,,,,3326.7,38552.2,,
전북,넙치류(광어),총마릿수[마리],마리,398,,127,533,2783,6351,10084,10499,2885,2914,2102,1096,,,362,3274,2792,5477,203,2399,2587,726
전북,넙치류(광어),총중량[kg],kg,0,,88.7,373.1,1950.4,6507,10192.6,10459.4,3008.2,2910.3,2317.8,1434.9,,,362.2,3279,3066,6466.3,118.6,2041.8,4917.6,433.6
전북,농어류,총마릿수[마리],마리,,,,,2722,3548,2748,2545,239,371,791,,,,,208,4505,3127,30,87,14,368
전북,농어류,총중량[kg],kg,,,,,1361,3546.7,2461.9,2047.3,242.2,294.4,1035.5,,,,,208.2,6869.9,6467.5,40.2,72.8,12,255.8
전북,능성어,총마릿수[마리],마리,,,,,,,,,,,4,,,,,,,,,,,
전북,능성어,총중량[kg],kg,,,,,,,,,,,3.1,,,,,,,,,,,
전북,대구,총마릿수[마리],마리,,,,,,,,,,,,,,2,,,,,,,,
전북,대구,총중량[kg],kg,,,,,,,,,,,,,,4.1,,,,,,,,
전북,감성돔,총마릿수[마리],마리,,,,162,180,2001,435,1758,1985,2360,1054,332,,,,515,,1268,21,244,961,8051
전북,감성돔,총중량[kg],kg,,,,48.7,53.9,2521.3,511.9,2072.5,1877.3,2571.8,1158.2,443.2,,,,308.9,,1089.7,15,149.1,634,2368.1
전북,참돔,총마릿수[마리],마리,,,,118,1765,793,2535,3083,3610,1826,733,,,,,4416,7329,3627,740,4022,610,85
전북,참돔,총중량[kg],kg,,,,35.4,530.3,636,2029.4,2638.2,6483.8,1826.2,848.5,,,,,3344.3,7178.6,3710.8,623,3160.7,408.5,54.1
전북,돌돔(줄돔),총마릿수[마리],마리,,,,,,,478,,,,,,,,,,,166,68,163,,
전북,돌돔(줄돔),총중량[kg],kg,,,,,,,726.1,,,,,,,,,,,137.4,67.7,226.5,,
전북,기타돔류,총마릿수[마리],마리,,,,,,,,,216,,,,,,,,,70,,,1,
전북,기타돔류,총중량[kg],kg,,,,,,,,,173.1,,,,,,,,,69,,,0.8,
전북,민어,총마릿수[마리],마리,,,,,,1747,2314,5650,685,3331,,,,,,,,1009,289,139,132,818
전북,민어,총중량[kg],kg,,,,,,1783.6,2312.3,6683.5,950.4,5913,,,,,,,,3202.6,936.6,121.2,263.3,2248
전북,방어류,총마릿수[마리],마리,,,,,,,4,,,,,,,,23,228,,,,,,
전북,방어류,총중량[kg],kg,,,,,,,7.1,,,,,,,,68.7,455.2,,,,,,
전북,보구치,총마릿수[마리],마리,,,,,,193,21,144132,3546,231,19,,,,,,,25,82,182,192,12
전북,보구치,총중량[kg],kg,,,,,,77.1,4.3,28934.8,738,71.8,3.9,,,,,,,5.1,30.4,66.2,54.3,2.7
전북,조피볼락(우럭),총마릿수[마리],마리,995,783,9686,31958,43523,40356,11556,17174,12556,29689,36144,34607,17393,7228,7267,31114,33713,20854,2285,2851,2019,7372
전북,조피볼락(우럭),총중량[kg],kg,2494.7,802.8,2905.9,9588.3,13060.5,15651.7,3769.8,6264.8,3783.2,8869.3,14686.4,21140.9,14250.7,5559.1,3799.5,18372.8,19842.8,10282.9,907.5,1068.4,751.4,2500.7
전북,기타볼락류,총마릿수[마리],마리,0,0,,,,,11,,,,174,4677,,1804,,,,,,,,
전북,기타볼락류,총중량[kg],kg,132.7,265.4,,,,,1.8,,,,48.2,1365,,1250.5,,,,,,,,
전북,노래미류,총마릿수[마리],마리,,27,4052,38727,50845,21434,8337,6830,19388,13821,,,151,2269,2762,20561,22737,24882,1856,1046,429,266
전북,노래미류,총중량[kg],kg,,0,1215.6,11618.5,15247.9,6630.5,2890.7,2135.9,5835.5,4627.3,,,94.5,1489,845.1,9403.9,8489.9,8022.7,558.4,394.8,133.1,90.8
전북,부세,총마릿수[마리],마리,,,,,,,,4114,145,,,,,,,,,,60,30,85,179
전북,부세,총중량[kg],kg,,,,,,,,822.8,63.2,,,,,,,,,,17.9,9.9,23.8,43.6
전북,삼치류,총마릿수[마리],마리,,,,,,4,7,,,,,,,,,,,2,281,14648,,42
전북,삼치류,총중량[kg],kg,,,,,,7.3,1.8,,,,,,,,,,,2.1,281.4,14255,,17
전북,삼세기,총마릿수[마리],마리,,,,,,,,,,,7,,,,,,,,,,,
전북,삼세기,총중량[kg],kg,,,,,,,,,,,2.2,,,,,,,,,,,
전북,숭어류,총마릿수[마리],마리,,,,,,,,,170,126,30,22,,,,,,,,,2,
전북,숭어류,총중량[kg],kg,,,,,,,,,347.1,288.1,73.9,44.3,,,,,,,,,4,
전북,양태류,총마릿수[마리],마리,,,,,,4,,860,216,442,23,,,,,,,45,28,82,234,163
전북,양태류,총중량[kg],kg,,,,,,7.8,,138.2,77.8,107.8,8.1,,,,,,,15.1,14,31.9,108.4,45.1
전북,붕장어,총마릿수[마리],마리,,,,,,,,14,110,311,41,,,,,,4,,,4,90,165
전북,붕장어,총중량[kg],kg,,,,,,,,1.4,43.9,124.3,20.7,,,,,,2,,,3.3,30,59.9
전북,기타조기류,총마릿수[마리],마리,,,,,1245,920,22514,4323,7290,465,,,,,,74,898,8044,640,281,81,8
전북,기타조기류,총중량[kg],kg,,,,,622.5,364.2,9005.7,1726.9,2916.8,261.5,,,,,,18.4,224.8,2458.1,240.9,91.5,32.4,2.5
전북,기타어류,총마릿수[마리],마리,,,,,,,,11,,,,,,,,,,,,,,
전북,기타어류,총중량[kg],kg,,,,,,,,2.5,,,,,,,,,,,,,,
